,Di,Do,L,Teta,RL,Eu,Etta
1,4.8,6.6,142,11.2,28.28,4493,65.18
2,4.8,6.6,142,17.80,29.3,4407,61.76
3,4.8,6.6,207,11.2,31.80,3997,72.47
4,4.8,6.6,207,17.2,31.2,3664,62.23
5,4.8,9.6,142,11.2,10.24,3697,54.06
6,4.8,9.6,142,17.8,10.50,3211,47.3
7,4.8,9.6,207,11.2,15.04,3257,61.52
8,4.8,9.6,207,17.8,17.16,3016,54.3
9,7.8,6.6,142,11.20,29,2416,74.59
10,7.8,6.6,142,17.8,33,1789,69
11,7.8,6.6,207,11.20,32.68,1587,72.32
12,7.8,6.6,207,17.80,31.72,1467,63.4
13,7.8,9.6,142,11.20,11,1679,68.82
14,7.8,9.6,142,17.80,14.1,1177,59.83
15,7.8,9.6,207,11.20,16.54,1071,62.42
16,7.8,9.6,207,17.80,16.19,1001,56.44
17,3.9,8.1,174,14.50,15.61,6435,62.84
18,8.7,8.1,174,14.50,18.9,1109,60.35
19,6.3,5.7,174,14.50,42.54,2866,76.73
20,6.3,10.5,174,14.50,12.43,1671,66
21,6.3,8.1,117,14.50,15.65,2744,55.61
22,6.3,8.1,228,14.50,20.11,1525,49.17
23,6.3,8.1,174,9,20.22,2245,63.44
24,6.3,8.1,174,20,16.96,1801,61.14
25,6.3,8.1,174,14.5,17.31,1894,62.31
26,6.3,8.1,174,14.5,17.5,1904,62.74
27,6.3,8.1,174,14.5,17.74,1889,68.24
28,6.3,8.1,174,14.5,17.50,1818,69.49
29,6.3,8.1,174,14.5,17.90,1971,68.59
